id,name,category,mealType,ingredients,allergens,instructions,servings,calories,protein,carbs,fat,prepTime,source
11,Greek-Style Garbanzo Bean Salad,lunch,vegan,"garbanzo beans,cucumber,cherry tomatoes,red onion,olive oil,lemon juice,salt,pepper",,1. Drain and rinse garbanzo beans. 2. Dice cucumber tomatoes and red onion. 3. Combine all vegetables and beans in a large bowl. 4. Drizzle with olive oil and lemon juice. 5. Season with salt and pepper and toss to combine. Refrigerate 30 min before serving.,4 servings,180,8g,26g,5g,15 min,KCMH Cookbook
12,Ham and Pea Salad,lunch,non-veg,"deli ham,frozen peas,shredded cheese,plain yogurt,apple cider vinegar,salt,pepper","dairy","1. Thaw peas under cold water. 2. Dice ham. 3. Combine ham peas and cheese in a bowl. 4. Mix yogurt and vinegar together to make dressing. Season with salt and pepper. 5. Toss salad with dressing and refrigerate until ready to serve.",4 servings,200,18g,15g,7g,10 min,KCMH Cookbook
13,Tuna Salad with Garbanzo Beans,lunch,non-veg,"canned tuna,garbanzo beans,celery,red onion,plain yogurt,lemon juice,salt,pepper","fish,dairy","1. Drain tuna and garbanzo beans. 2. Dice celery and red onion. 3. Combine tuna beans celery and onion in a bowl. 4. Add yogurt and lemon juice and mix well. 5. Season with salt and pepper. Serve on whole wheat bread or lettuce.",4 servings,210,24g,18g,4g,10 min,KCMH Cookbook
14,Cowboy Caviar,lunch,vegan,"black beans,corn,cherry tomatoes,bell pepper,red onion,cilantro,lime juice,olive oil,cumin,salt",,1. Drain and rinse black beans. 2. Drain corn. 3. Dice tomatoes peppers and onion. 4. Combine all ingredients in a large bowl. 5. Drizzle with olive oil and lime juice. 6. Add cumin cilantro and salt. Toss to combine. Refrigerate 1 hour before serving.,6 servings,160,7g,27g,4g,15 min,KCMH Cookbook
15,Pasta Salad,lunch,veg,"pasta,bell pepper,cherry tomatoes,cucumber,shredded cheese,olive oil,apple cider vinegar,salt,pepper","gluten,dairy","1. Cook pasta according to package directions. Drain and cool. 2. Dice all vegetables. 3. Combine cooled pasta vegetables and cheese in a large bowl. 4. Drizzle with olive oil and vinegar. 5. Season with salt and pepper and toss. Refrigerate 30 min before serving.",6 servings,240,8g,38g,7g,25 min,KCMH Cookbook
16,Seasonal Wraps,lunch,non-veg,"whole wheat tortilla,chicken,lettuce,cherry tomatoes,shredded cheese,plain yogurt","gluten,dairy","1. Cook chicken and slice thinly. 2. Warm tortillas. 3. Spread yogurt on tortilla. 4. Add lettuce tomatoes and sliced chicken. 5. Sprinkle with cheese. 6. Roll up tightly and slice in half to serve.",2 servings,320,28g,32g,8g,20 min,KCMH Cookbook
17,Zucchini Burger,lunch,veg,"zucchini,egg,bread crumbs,shredded cheese,garlic powder,salt,pepper,whole wheat bun","gluten,eggs,dairy","1. Grate zucchini and squeeze out excess water. 2. Combine zucchini egg bread crumbs cheese garlic powder salt and pepper. 3. Form into patties. 4. Cook in oiled pan over medium heat 4-5 min per side until golden. 5. Serve on whole wheat bun with desired toppings.",4 servings,210,12g,28g,6g,25 min,KCMH Cookbook
18,Chicken and Spinach Quesadilla,dinner,non-veg,"whole wheat tortilla,chicken,spinach,shredded cheese,salsa","gluten,dairy","1. Cook chicken and dice or shred. 2. Heat a fry pan over medium heat. 3. Place tortilla in pan. Add chicken spinach and cheese on one half. 4. Fold tortilla over and cook 2-3 min per side until golden and cheese melts. 5. Slice and serve with salsa.",2 servings,340,30g,28g,10g,20 min,KCMH Cookbook
19,Black Bean and Tomato Salad,dinner,vegan,"black beans,stewed tomatoes,corn,red onion,cilantro,lime juice,cumin,salt",,1. Drain and rinse black beans and corn. 2. Dice red onion. 3. Combine beans tomatoes corn and onion in a bowl. 4. Add lime juice cumin cilantro and salt. 5. Toss well and let marinate 30 minutes before serving.,4 servings,190,9g,34g,1.5g,15 min,KCMH Cookbook
20,Stuffed Sweet Potato,dinner,veg,"sweet potato,black beans,shredded cheese,salsa,plain yogurt,cumin,chili powder","dairy","1. Pierce sweet potatoes and microwave 10-12 min until soft. 2. Drain and season black beans with cumin and chili powder. 3. Split potatoes open. 4. Top with beans cheese salsa and a dollop of yogurt. 5. Serve immediately.",2 servings,380,16g,65g,8g,20 min,KCMH Cookbook
21,Rainbow Chicken,dinner,non-veg,"chicken,bell pepper,carrot,yellow onion,olive oil,garlic,salt,pepper,brown rice","","1. Cook brown rice according to package directions. 2. Slice chicken and all vegetables into strips. 3. Heat olive oil in a fry pan over medium-high heat. 4. Cook chicken through then remove. 5. Saute onion garlic and carrots 3 min. Add peppers and cook 2 more min. 6. Return chicken to pan and season. 7. Serve over rice.",4 servings,350,32g,38g,8g,30 min,KCMH Cookbook
22,Kidney Bean and Corn Chili,dinner,vegan,"kidney beans,corn,stewed tomatoes,bell pepper,yellow onion,garlic,chili powder,cumin,salt",,1. Dice onion peppers and garlic. 2. Saute onion and peppers in pot over medium heat until soft. 3. Add garlic and cook 1 min. 4. Add drained beans corn and tomatoes. 5. Season with chili powder cumin and salt. 6. Simmer 20-30 minutes stirring occasionally. 7. Serve hot.,6 servings,220,12g,40g,2g,40 min,KCMH Cookbook
23,Sweet Potato and Sausage Soup,dinner,non-veg,"sweet potato,turkey sausage,kale,yellow onion,garlic,chicken broth,olive oil,salt,pepper","","1. Remove sausage from casing and cook in large pot over medium heat until browned. Remove and set aside. 2. Saute diced onion and garlic in olive oil. 3. Add cubed sweet potato and broth. Bring to boil and simmer 10 min. 4. Add kale and sausage back to pot. 5. Cook 5 more minutes. Season with salt and pepper.",6 servings,290,18g,28g,10g,35 min,KCMH Cookbook
24,Turkey Goulash,dinner,non-veg,"ground turkey,pasta,stewed tomatoes,yellow onion,garlic,bell pepper,chili powder,salt,pepper","gluten","1. Cook ground turkey in a large pot until browned. 2. Drain fat. 3. Add diced onion garlic and peppers. Cook until softened. 4. Add stewed tomatoes and chili powder. 5. Add pasta and enough water to cover. 6. Simmer 15-20 min until pasta is cooked. 7. Season with salt and pepper.",6 servings,310,24g,36g,7g,35 min,KCMH Cookbook
25,Yogurt Dip for Vegetables,snack,veg,"plain yogurt,fresh dill,garlic powder,salt,cucumber,carrots,bell pepper","dairy","1. Combine yogurt dill garlic powder and salt in a bowl. 2. Stir well to combine. 3. Serve with sliced cucumber carrots and bell pepper for dipping.",4 servings,60,5g,8g,0.5g,10 min,KCMH Cookbook
26,Yogurt Dip and Fruit,snack,veg,"vanilla yogurt,honey,strawberries,blueberries,apple,banana","dairy","1. Combine yogurt and honey in a small bowl and stir well. 2. Wash and slice all fruit. 3. Arrange fruit on a plate and serve with yogurt dip.",4 servings,130,4g,27g,1.5g,10 min,KCMH Cookbook
27,Spiced Walnuts,snack,vegan,"walnuts,brown sugar,cinnamon,salt,olive oil","tree nuts","1. Preheat oven to 350F. 2. Combine walnuts brown sugar cinnamon and salt in a bowl. 3. Drizzle with olive oil and toss to coat. 4. Spread on a cookie sheet. 5. Bake 10-12 minutes until toasted and fragrant. 6. Cool completely before serving.",8 servings,180,4g,8g,16g,20 min,KCMH Cookbook
28,Seasonal Yogurts,snack,veg,"vanilla yogurt,honey,seasonal fruit,chopped nuts","dairy,tree nuts","1. Scoop yogurt into bowls. 2. Top with desired seasonal fruits (berries in summer peaches in fall pears in winter). 3. Drizzle with honey and sprinkle with nuts. 4. Serve immediately.",1 serving,170,8g,26g,5g,5 min,KCMH Cookbook
29,Microwave Fruit Crisp,snack,veg,"apple,pears,oats,brown sugar,cinnamon,butter","dairy","1. Peel and slice fruit and place in microwave-safe dish. 2. Combine oats brown sugar cinnamon and melted butter in a bowl and mix until crumbly. 3. Spread oat mixture over fruit. 4. Microwave on high 5-7 minutes until fruit is tender and topping is crispy. 5. Cool slightly before serving.",4 servings,190,2g,35g,5g,15 min,KCMH Cookbook
30,Ragi Adai (Finger Millet Dosa),breakfast,vegan,"ragi flour,fried gram,murungai spinach,grated coconut,green chillies,onion,grated carrot,salt",,1. Grind the fried gram into powder. Wash and clean the spinach. 2. Add spinach to ragi flour and mix in grated carrot green chillies chopped onion and salt. 3. Add water and mix to batter consistency. 4. Heat dosa pan spread a ladle full of batter. 5. Once cooked flip and cook again. Transfer to plate. 6. Serve with coconut chutney.,4 servings,160,8g,28g,3g,30 min,ICDS Tamil Nadu
31,Kambu Kozhukattai (Pearl Millet Dumplings),breakfast,vegan,"kambu flour,groundnut,roasted gram,jaggery,boiled rice,coconut,cardamom powder",,1. Wash kambu groundnut roasted grams and boiled rice and roast them in a pan until golden brown. 2. Grind the mixture to flour. 3. Add chopped coconut and cardamom powder to the flour. 4. Melt jaggery in boiling water and filter it. 5. Add jaggery mix to flour and prepare dough. 6. Shape dough into small round dumplings. 7. Cook them in idly maker and serve hot.,8 servings,220,7g,42g,5g,45 min,ICDS Tamil Nadu
32,Corn and Gram Flour Roti,breakfast,vegan,"corn flour,gram flour,onion,drumstick leaves,oil,salt",,1. Roast corn flour and gram flour separately in a pan then mix together. 2. Add washed drumstick leaves chopped onion salt and water to the mix. 3. Knead to chapati consistency. 4. Split dough into small balls and roll to small rotis. 5. Cook on hot tava with little oil flipping to cook both sides. 6. Serve hot.,4 servings,180,6g,32g,3.5g,25 min,ICDS Tamil Nadu
33,Saamai Tamarind Pongal (Little Millet Pongal),lunch,vegan,"saamai millet,raw groundnut,shallots,red chilli,mustard,sambar powder,jaggery,sesame oil,tamarind,salt",,1. Soak tamarind and extract two cups of tamarind extract. 2. Pour gingelly oil in hot pressure pan and add sesame curry leaves fenugreek and dry chillies and shallots. 3. Add tamarind extract millet jaggery sambar powder groundnut salt and a cup of water. 4. Close with lid and steam till one whistle. 5. Serve hot with chopped onions.,4 servings,230,7g,42g,6g,35 min,ICDS Tamil Nadu
34,Millet Kozhukattai (Barnyard Millet Dumplings),snack,vegan,"kuthiraivali millet,green chilli,asafoetida,cumin,grated coconut,curry leaves,salt",,1. Grind kuthiraivali rice to flour. 2. Add mustard black gram cumin curry leaves to hot oil in a pan and saute. 3. Add chopped green chillies salt grated coconut and a cup of water. 4. Once cooked add millet flour and mix well until pliable dough forms. 5. Shape into neat dough balls and place in a vessel. 6. Steam for 7 minutes and serve with coconut chutney.,4 servings,170,4g,30g,4g,25 min,ICDS Tamil Nadu
35,Kambu Palak Roti (Pearl Millet Spinach Flatbread),breakfast,vegan,"kambu flour,palak spinach,salt,ghee",,1. Chop palak spinach and keep aside. 2. Add oil to pearl millet flour along with a pinch of salt chopped spinach and knead to chapatti dough consistency. 3. Shape dough into small balls and roll into rotis with a rolling pin. 4. Cook on hot tava flipping to cook both sides with little ghee. 5. Serve hot.,4 servings,160,5g,28g,4g,20 min,ICDS Tamil Nadu
36,Varagu Tomato Rice (Kodo Millet Tomato Rice),lunch,vegan,"varagu millet,tomato,onion,chilli powder,coriander powder,turmeric powder,tamarind,ginger,garlic,oil,coriander leaves,green chilli,cinnamon",,1. Clean varagu and keep aside. 2. In a hot pan add oil and saute mustard urad dal ginger garlic paste chopped onion and tomato. 3. Add turmeric powder coriander powder chilli powder and tamarind. 4. Add required water and salt and allow to boil. 5. Add varagu rice and let it cook. 6. Serve hot.,4 servings,210,5g,40g,4g,30 min,ICDS Tamil Nadu
37,Millet Puttu (Mixed Millet Steamed Cake),breakfast,vegan,"corn,white corn,millet,jaggery,coconut,ghee",,1. Grind all the grains and mix them thoroughly. 2. Steam the mix until it is cooked. 3. Add grated coconut and jaggery and serve warm.,4 servings,240,5g,45g,6g,30 min,ICDS Tamil Nadu
38,Millet Veg Biryani,lunch,vegan,"kuthiraivali millet,green peas,carrot,beans,ginger,bay leaf,cinnamon,ghee,tomato,garlic,onion,green chilli,coriander,pudina,curry leaves,lemon,fennel seeds,cumin",,1. Grind ginger cinnamon onion and garlic into a paste. 2. Heat ghee in a cooker and saute cinnamon bay leaf fennel seeds cumin curry leaves pudina and coriander. 3. Add the ground paste and cook until raw smell leaves. 4. Add chopped tomato onion green chillies vegetables peas and saute well. 5. Add millet rice and enough water and steam. 6. Serve hot with raita.,4 servings,280,8g,48g,7g,40 min,ICDS Tamil Nadu
39,Kambu Paniyaram (Pearl Millet Sweet Dumplings),snack,veg,"kambu flour,raw rice,black gram,jaggery,cardamom,cashew nut,fenugreek seeds,oil","tree nuts","1. Soak kambu raw rice black gram and fenugreek seeds in water for 12 hours. 2. Drain and grind to a paste. 3. Add salt. 4. Boil water and add jaggery. Let it boil until jaggery melts. Filter and pour into dough. 5. Add cardamom and cashew nuts. 6. In a hot paniyaram pan apply oil and pour batter. Cover and steam then flip and cook until done. 7. Serve hot.",8 servings,190,5g,36g,4g,60 min,ICDS Tamil Nadu
40,Kuthiraivali Veg Biryani (Barnyard Millet Biryani),dinner,vegan,"kuthiraivali millet,green peas,carrot,beans,ghee,oil,cashew nut,ginger garlic paste,turmeric,curry masala powder,tomato,green chilli,dry chilli,cardamom,pudina,salt","tree nuts","1. Pour oil or ghee in a broad vessel. Saute cardamom and cashew nuts. 2. Add ginger garlic paste and saute until raw smell leaves. 3. Add all chopped vegetables one after another and saute. 4. Add curry masala powder turmeric and half litre water. Let it boil. 5. Add kuthiraivali rice and steam well. 6. Serve hot.",4 servings,290,8g,50g,8g,40 min,ICDS Tamil Nadu
41,Corn Paniyaram (Corn Dumplings),snack,veg,"corn flour,grated coconut,jaggery,cardamom,oil",,1. Mix corn flour with grated coconut jaggery and cardamom. 2. Add enough water to make a thick batter. 3. Heat paniyaram pan and add oil to each mould. 4. Pour batter into moulds. 5. Cover and cook then flip to cook other side until golden. 6. Serve hot.,6 servings,150,2g,28g,4g,25 min,ICDS Tamil Nadu
42,Peanut Sundal (Boiled Peanuts Salad),snack,vegan,"raw peanuts,onion,green chilli,lemon juice,coriander leaves,salt,mustard seeds,curry leaves,oil","peanuts","1. Boil peanuts in salted water until soft. Drain. 2. Heat oil in a pan and add mustard seeds curry leaves and green chilli. 3. Add boiled peanuts and toss. 4. Add diced onion coriander leaves and lemon juice. 5. Mix well and serve warm or at room temperature.",4 servings,180,8g,15g,11g,20 min,ICDS Tamil Nadu
43,Vegetable Upma,breakfast,vegan,"semolina,onion,tomato,green chilli,carrot,beans,mustard seeds,curry leaves,oil,salt",,1. Dry roast semolina until lightly golden. Set aside. 2. Heat oil in pan and add mustard seeds and curry leaves. 3. Add chopped onion green chilli and vegetables. Saute until soft. 4. Add 2 cups water and salt. Bring to boil. 5. Add roasted semolina gradually stirring continuously. 6. Cook until water is absorbed and upma is fluffy. 7. Serve hot.,4 servings,200,6g,36g,5g,20 min,ICDS Tamil Nadu
44,Vegetable Khichdi,dinner,vegan,"rice,moong dal,carrot,peas,onion,turmeric,cumin,ghee,salt",,1. Wash rice and moong dal together. 2. Heat ghee in pressure cooker and add cumin seeds. 3. Add chopped onion and saute until translucent. 4. Add carrots peas and saute 2 minutes. 5. Add rice and dal and mix well. 6. Add turmeric salt and 3 cups water. 7. Pressure cook for 2-3 whistles. 8. Serve hot with yogurt or pickle.,4 servings,250,10g,44g,5g,25 min,ICDS Tamil Nadu
45,Banana Oats Porridge,breakfast,vegan,"quick cook oats,banana,jaggery,cardamom,coconut milk",,1. Cook oats in coconut milk adding extra water if needed until thick and creamy. 2. Mash banana and add to oats. 3. Add grated jaggery and cardamom. 4. Stir well until jaggery melts. 5. Serve warm. Can be served to children as a nutritious first food.,2 servings,260,5g,52g,5g,10 min,ICDS Tamil Nadu
46,Sprouted Moong Salad,lunch,vegan,"sprouted moong,tomato,cucumber,onion,lemon juice,coriander leaves,salt,pepper,green chilli",,1. Sprout moong beans by soaking overnight then letting sit in damp cloth for 24 hours. 2. Blanch sprouts in hot water for 2 minutes. Drain and cool. 3. Dice tomato cucumber and onion. 4. Combine all ingredients in a bowl. 5. Add lemon juice salt pepper and coriander leaves. 6. Toss well and serve fresh.,4 servings,130,8g,22g,1g,20 min,ICDS Tamil Nadu
47,Ragi (Finger Millet) Porridge,breakfast,vegan,"ragi flour,jaggery,grated coconut,cardamom,water",,1. Mix ragi flour with water to make a smooth paste without lumps. 2. Boil 2 cups water in a pan. 3. Slowly add ragi paste to boiling water stirring continuously. 4. Cook on low heat for 5-7 minutes until thick. 5. Add jaggery and stir until melted. 6. Add grated coconut and cardamom. 7. Serve warm. Excellent for children and pregnant women.,4 servings,180,4g,38g,3g,15 min,ICDS Tamil Nadu
48,Green Pea and Carrot Stir Fry,dinner,vegan,"green peas,carrot,onion,garlic,mustard seeds,curry leaves,turmeric,salt,oil",,1. Heat oil in pan and add mustard seeds. 2. Once they splutter add curry leaves and garlic. 3. Add diced onion and saute until soft. 4. Add sliced carrots and cook 3-4 minutes. 5. Add peas turmeric and salt. 6. Cover and cook 5 more minutes until vegetables are tender. 7. Serve as a side dish with rice or roti.,4 servings,120,5g,18g,4g,20 min,ICDS Tamil Nadu
49,Sesame Ladoo (Sesame Seed Balls),snack,vegan,"sesame seeds,jaggery,cardamom,ghee",,1. Dry roast sesame seeds in a pan on low heat until golden and fragrant. Cool slightly. 2. Melt jaggery with a few tablespoons of water to make a thick syrup. 3. Mix sesame seeds and cardamom into jaggery syrup. 4. Grease palms with ghee and shape mixture into small balls while still warm. 5. Cool completely before serving.,10 servings,140,3g,20g,6g,25 min,ICDS Tamil Nadu
50,Tomato Rasam (South Indian Tomato Soup),dinner,vegan,"tomato,tamarind,turmeric,cumin,pepper,garlic,mustard seeds,curry leaves,coriander leaves,oil,salt",,1. Soak tamarind and extract juice. 2. Crush garlic and grind cumin and pepper to coarse powder. 3. Heat oil in pan add mustard seeds curry leaves and garlic. 4. Add tomatoes and saute until mushy. 5. Add tamarind extract turmeric and pepper-cumin powder. 6. Bring to boil and simmer 10 minutes. 7. Add salt and garnish with coriander leaves. 8. Serve hot with rice.,4 servings,70,2g,12g,3g,20 min,ICDS Tamil Nadu
